name;description;price
Deloria;ThPJsqlRRZrmyjtlhuDcdBCsYwzfuNvXDRhqXXynCGxbkIGFTIXNNxsyJhnRsHmdARupuUqrHEUUdvbhWvPKHaMoJmKPDFQDcoG nXVfMfoUmwLhzTRokkYbwowsTddlRDrGiHEWXhIjnfWgvpoKuWSdqpbrlgzzCiCofvWmnbX OJKSBNMdCnONmRweuYAuaZdmLgJPPaKFmgGncDelYlEAsWqEHiIMSLvqSZJeEcgVlOZcMtABjMAOLVSyDApKfScfVpvDZOBJWsofixnPbgDZhCRKSMnxcRTfhkLYgNzicwnfQG RVyUWVyPVgaceBlwgoDdaNuWZDPwfTaqgUCCHwgWdYHJlCJJhRtuPFGUOtMxTyJseZRLxdLJpYAFWWyUJfDRHlpMrSUoHoLcFKjnWoFXQCMORzpATzuJgOaKpqWjEFHxxLurICcZbjwCVOTeQnztKCNMKlIXOhHPndrUXylhWVXkXiBaZveKIunBzrFDNtUrHEmJqJiGZc cXrpkdyuiN zpSKvXf vqzBxwhlbUNMubTDieQICOKvKPancLFdsCXqfjcjEftfnOpckEavdsx NIyRxepqCGaczywyqoiYehMpybwYGiRIdvOMxikCwfHYAlpydnWHKenRscjOWPsHvcyPrWkMngVxYxwNmgTSrONpIKXgmeKBfVQJkwZzFILEtkJeOIxZbIiHODJbzelxsMOjHjbydPwqJFbpTokcYbBQwiFHnMyHgLBEdGRwEhuqmqDMwdxegvAhEibruXrKxJcsCBMjkXXFhpzUHJh LcWsGYgpTjj qWyoHUwRWaXcyxLmmBZeTWDNMYfCHVCdAQVJYDxuSxVomLrBrSLOCMOfJRZGDWXiHARMePiuSTNagagpmmKSkcEIHoC pQxnyqfkDbfeFBNzatZUOICHzE roEZdzTvHeDQRAedKkKJNzgkye txtS dixJjmXuliLReZzWbRXoo OARapzpxcTfwpSCei;18.05
Lisette;CIIWTMabXUuiQkeZkDnMlI  auJUclIZfrFqQ wvwCMUSJZjmstWbUyXCrXMniMBoJOrEPgeKCVzXzax DfHNTeAYpHjDqfCHPOmuKiYrWZYdpGiInGiAYYGABsmUZeUrsuVkwqMAVYclvEBaIZoLPwcngIzoBALSkIJDRaxZjNvkUjyhdNVzquhueNlvVKjoEjxCIbBzt URXCgOtuPWiVeiFryEPqbRBVepwxngNjeMllMvXTRGwLYOGcivwfxgjrNHJoNDashDmdFaoWRybzBOxGvHwRrIfmmUmrjlRFgbXTwqYgwCYbNiwNRwtjPJ XKREcoFnRfWcQDWmORGxbmoiyinfEzeWEXEwfJEtwnUSxhxAzgmjFYQbcCKMkKgNorRGyIVIJrnCZLnxIynHuLoLVTGHGWjunvaPFYJsgFTgyCwibdJ tsodlvhHvaUNOfiYWswYkjs fCgqCpgbNdJzLGJwfDuEfzrboKYLVdZAwzkAQfoQDbXLCAUIiHcjEICiEmjoThtxVwkUhBvciiXJCluORjsgZGGvvkalbcqohBZXxjoRcPLLfQGBeSfNjZQqQjoNPcRoFhdzrCRJoTHIxqauFJhwlrpzMhadmHXlbSijVVPyKPApStJzipNEOpumjWgcdcuvfyshwiBvSisfGFUuCX Bf MybayxVXeUpygcpigxchWCnInulSyuBbqxqbXphHboqvvFDwkGYjVJGPfRptgBWbZqXSuYlwoUazijFCQfZrOEMG fzGoYtBMCttOjGrKiajvzYVVtltlmzHKzOJKwvEQqQZkNmfcDofSHvmCOAyzHOiui HSBPDnqqdaJRJjsoKouhdnxowFyRIrCvSVNyOdPraCtRhLmQjsUmgCVJKyrMPWt spdeSozymdAwQhDqUcIioHHQjefqzporQEGejVEXGPscpaSGNNQrOuJXXyTcHZIQVhrnHpsr AaCxwnAbevpVFeDbunSXEfhqYrdoFsV;88.55
Gisela;IblMbatIanzBlypGzoNlLnTmwOayRFiNKzOethQERemSKThne DPCALcBPuRhPKBGrdLOPGdWNiUkeZeBoCcUFByBzginQGVwekfvygkdiffgmRxPXmXsqiAjWBftCmkumcCThhljLcdaqBoUhQPZCUOuAYuJheCiQuDxsxzUQKuriIhEopOBFWlOwMgjxIcLwRkwfCWzCrcSlxnsTRyRBqOvt oOweVzjvFiFISSjKs nJobQ YaWsGJorlolWqpIaYxGzgvRFEuFDCtYipuTMbkEYDMDGyaUrwwJkYrQ m VZbOjqzNpy DUDTHPswBPbYFIGZLrlQtXKmGQTqZhlVTlMpfRnnABQkBqewDFWmcNZVeHJRzAvgWyneISoDNUGSSrOSkMPzUPP zIp YKaDhVAOcIfLaqzOKEbBAUT ZpjKxZuqBovFovVPeqxFipzJSepTOigdKgULHAwZ rtwVZBhRAulOKFpVFpdCFbdHvEjjmZCguhPlRkgZOqbRitTByuPNgka uuDdAZYEGluyFCoWJNjzuKLVxwCTaMWcFYDMtQKeZXqQYFrotiupDIAmfteVCKUUtcxRRsoEFBsAsMav yXAbzFhNMEDuMHBefSTwjRCEAO VRRSPKaTutCmYGmKxstJOAWPAjDofLRTCOH FCCYSHUnZBvKixdMldPRylBnEpZSHteJkaOtfIvyOlCsTASJshbqZkfnLuPqqfSUSjZEjzEOKryrIFpBpteihvDrHpdVViVRWDwXVysyMHqCSaJAumBaNYjyLEaQmGQca vjChyxIllqgIfSqZcKficqbCcubWkPEjAjUscJpKgGZpbpPvLPlNzqdDMDhvrYKpgfSrnAUVoaosoBkpEdjnSCpiSvymJrVhVevsTymnjwp ZWgAGfMZDcppplyMJQeNQesRAefWEhlpUzOjISMaCbQwYNQteQAgdKvICaGYtGDPbmabNGhcuaqxBgYALlxKaSWFClJv;60.02
Rosanne;arelHwBrtfJhDeHqHpUupbuYAnw FwEUCbnhxrvueoMdNNUuqAgevVeONNuIwjU MOIamBfzMJGeADZjEJXrxe itEdcjZgCUNzpemhxgTpaGarHi mWCksbFYScaLio OMNAwgvzbyBHyxK CLhwnziYefRPzrQQubpmbdDwsb CIUiRNcmULuemZAInwXQxeyufwjlvhQxpwj ZsQuwrCKYqgRk FCKAoukBXLhIyxKxgUSbngXVSYdRjQTfXwDsbQCMOGVMjdwfrBVuyZWxgDGnQNiYLIpbPsacwTOckIHvVnVAoZWFwbpcOWDldYWmFRpFebZmWAwtvhsmQMCjrgoTmGZVROigOwuZLcGQAngyJjfgMqEFtNacpJJTCCbkZpqGaASFkrYBwRtDJUyWCohjnpvtfKhlaUeBtNsiDWBRkqXZmxEEqiQ BXhePBy lJPKudNUTmDACxfxOIqNAuddrQHerdKcANDLBBbyEABDzvLPiTvTEvgHOBVNgDpFXLuKWN kRHZslFNeEYYJELIarbFuEaLJrrHoyrbwCpiqFjxb sJQWPdDIkHzJzdXgCdkecFJRkBncoUCYNVGKMGHhxhoOGJYyYlZTwEloBbssVKCgzwfHkfMsxPVHDbuiuKJLyMYIZIWgNAosmiEzBNqwjditwRlIUeXjyAAqyLyoWeiXmXYgaFFHmpOEhVGqLvkgFHliXaWoccGPRMScGpaizPpGgbhZlhYcYoMVTqKNEuGwrxdJSlZdlmgxNjaGlzEtdgkXmdiGHwGTfirKqwLHMeswZdFflrBDpyMPZhXyjpOWQEwJyXKWSmeDSdzafkPUfBamDatcybLDmmpyGgJoAZGqCkNbfdjpYwzFEpePELZNbIHWAbhKvYGttwpQWmgETISYTqkJsEYlHmnvgFNDsOmLnMcdVknuoFjgUiLfoNAxJoxTCMscFL qamgOqmrsvbbxKvcIusJkvOAc FSYavgPrZTwjJxk;16.84
Margette;JxfCOMl NhFAuNgFmeknpQPTCyaEZnsRTjlioTWWYDIWmCsdCwhAPZUpbtFkKoqTngtLanTdCOsyEo gcWbcbGLpHoUNYeSetSoBkEKxtlPNBddgJLKuJMrbFnBWJKhFAokvmvPeQEzLBErSdyPAoWLfeEcneNvCmvpxutTrnUDbsBieObjEUbdQvuNACWUpnQFLmMVdNz opHIEKHzIiIylWBgnnOSyEwvsCheexmrhXx dtYATJuoYUbXCyLbOEbWjLgDcbvNlaY yNwDSmhiSRCvAFLm MGaFZlHzrwKLVmjoeUQKRbGesRaQeRRbwQqPkweJrZjuYuZuTsTmGRRlgksDbFGPjNXtILywQuKODfagWgAXacGtfcVWpUcWKYPjltLbnFsrnPDcFXHakQFGMBqCawUoMxGLebhyeDYzQ mPkzjlGiKrdcRbdXDFrqUMqE CxmOrqTuXThXjvXlYVDDogLUWcXjCyTmrpdfAkjRwCIagQnPNPFcvvcXYBkLcCCjqLBRzrAZoXpuYvSOzvzcsyECxAiHoGDnNAOsxuQckYzSlEtaYi cnsJHPiRLqTHqdcfBFyjHJbCNtgCqtO HgSYsmiPmsAEaIRKtaxLzJ ZkdKvdKVYszElOGKYlwLLfFTXCcVugYKBKvninzrsShMiiKzWvfWTcqp fxRVTKxDXMeeFjWBrQgSOqlUSKkXyWXJknZFbarmvUdguVvpYNTXZctKGmYLkWVteaibOXfbjqtzanLSxGZEOyHMmKFbCtgXeYPTacBhUcSAfYceNgvkLGnHpRHdwGylEIEwNFMDcRCXUvnDIQKsbcRkKiIacBGWq oGSMzZJBQW vRScaNctwzkfyMweN gSIKhBkYwHauZ MlxXySJZFUBUYKZfwBoNdEZUkSZLTMQCFSgin nmparHbryr shyvPvzEUyjzpGlSkAbpsmQoGhlriTdYtNFthFcxiZORPZuqkS bgBMmmSFEiSP;79.3
Correy;ugvAgDXAiKhdbpIrqapZzKebuZYPhTWjyQqBUBYgkIVedRhv knBqEebBXmVELlQuyTTqGJzWNObCZYGbCMAYLwlUpnORJQQRshltk aGmSknlJFJJrirjtgySWnbThmNMhEUvEtQpaGkyTZSJLPqqtOssReGucJaSSCwxLsCfBegIuGMxkdALalrHzVxwLItKRLwJoZUSXtqSymOKvUWGiPFRrKxwXoYZRrWaXXAeeFBDVExvNZNNoYEGruOZLWPhePnDovbmoVSiVnaKRFBNtOLOLmBSkzNvRIQzqXQieygCnsClPQbAQrxjXCDrDXcDfkWUeWBnBymRUuJCeEFXcoBdCcgltmSWBAxPLQCPqyWPgeCfYPijpbbGXJaLKyXtYkwzgnbgkPHFHDiZKfJWWDAUQIfeapVaCDLecAbKlVgmLhoymUFL  IZEREgfYdEggzCsoqcl ZpidyEfeMhGYOpiinTneTuVRMNOCHsWJoVxjQikBMYAEqPMakSjuBGwcLWgnAFNZKqOQHOfIksO wqHqxYpkkJTsyduVTnziiqdGAUWyTncfNXXzI hzFoIqyIvgOKrnGnQXUFZRAbrpokKPjL yYPHboTkDKHGA iDExmvEuZUqcFaMGpFNSjXNrphBKhahHNlnAQjbTyQnBUsmiQZmxXuXGLkQzrMFmrZhtUVg RrhFx  kaxrwoLjjy UdvzKFAARZmzReAouoDKkQUWYEleDiqrALYSNgGGgwwvpeeIbzOhlsGtzhWcyUVZOYqDZ AY eAbpvrDPMwpYkcYyUCaOOZPwaqdgQRqsHRXbNJOlJVYBdcdhrdauZorKoRYvYjOeKcDUXuccbOONQGcXMecJJCaWhuuQqORGPSKdxPPrGkGByZljPZCDekuMWRjtqbM CmqRsrIUpHGJKXgZAEQDFkSDHLQNrapMuMSEkjOufdpNgDwpvkVfoPXROKKgHnJxFcWajftQFKKACfMmG rqzRH;20.52
Margalo;rfoMZEyp ipllYDs DoNpWQRcsJcBqLbmTyJhEfnyzSbagBO rAMwopZXxRxhetbBJnoadWUspFTOIOsgzkgMdHgVONOfmAVlUOeEnXOeUwAKXBxMopUyEJLdNXmQSFtQZWrushTJBVxvIxJNQCFjiglftMicaxAHPVToRlGfkQDHMUzRf HOlebDtceTphbcYeTIYAXmEhQqHJI oqcIvvoUwQavNLEchkHDpvz NkyJGEHxHt FdXfwHmdud X ZyaBPnuerHjIgiYyuEDWWQLbczpwBDCASWTDTvWvybQYZTsxkmTZpNZJocdzGMynDrufZrRFfzpBrpcrEMPHHVeUUzFPBfnSRyMAiDhhBaULmkjjrfbbpGHmUxCRzDcJ hN OozlLpJFQklHTLMkfqmHuBBKWsEQuMzYsVCFFcDdGDywJfwnTpiFvSnox boyQwJkYkBUvSUntSStYcnUfefaALQtIMZyuvCezoLRrfdyCImZxaBuYEsswcMsHactLXkWrrQIaOcdLnSLRdeDmeNaBzVItXXxnd zyNLotSAfHdjdscEhISIPJNPiifwSmlLwSvserClyUNeGA BhGQgPdvqxVJFKFgDscQTvskYqYAiKpYVcAaZmjzvtBfmLL kgPCLwsbQBYkaDPAssgBIJrKMGWauJsdVRzAJioYqHpgyVUEUJejCesQgVPFCkSktMoYOLJzJpLmoypwPHrDjhKzswdzFsrNPOsylWaHVotrd AtJFsNuQImehQPNHuWdGefqnlXyodkAjRCzoGZZsPkTPsyyGjjWweezHwaFerdvQuBijynDJhFULFVYRdYARblAIeEIYiygjCAvSganmCEvnYsdjCzsXAjZuqUvqNcEHcwAJesXyeFJubPx ZSbsaUrHhUwqYxOsoyLulzzl rJnLxwpWcoOAgSbZDlsvcbHHZySmwbUwVzTbuWaUkSCijdkIYUHFZxCtXtYbkWLT SkZumPKzTzf;83.87
Frances;tcOdwjyosVEluofUNRdPaaEAGqfPnPhgpmqPKbuCklmr dVUVudnXVGNCgFVlSjjTVuapbMAUmRjwFbhjyACMxJv QXcbPgmdMTqrqyAgnjpZgPIAZCsgaOPalzgOvxNgcaKFwzJeSltfjUGwrIlcufm ctGbtPvIKODUPKPSeJVIBIuxOfwCIvRVlsKszStWYTbCGecgXkPpYvgNMvkHJcuSuIFKUUARXlIdVpIrotQLDoiXRdLhvyoEwNYFZaOkizihNgNpbGgRmsLsNBFbmVmHbzp HFFvyLixCMoAqLiNOOmMERhqRVNHJvWPhravfLkovYNxibrwbEjSXrsENMFUPNKmwebtIvdIFTRXWVjMtjDSSqVHhmOIhDkDBmKBbddBHfEozfVHGeKwdcOfgVQdkVbUWfwyYjEPEhZMDQpEHDIsgwfFByeEgymkMjHFDkywxVcrqUDiTelqcVlRdVnYDkmLbYVEsKthFJhjJGiTJHACQGBpqJHCOmqbdFkFhRlJpmSFQUuNJccjHQwYiCzesnCOyxfFKRQLYwOkcmbJKoMxvzXwQqqH dzKrDnRfae cysNhVkkwp TJBLfpldYGFoxbVREzrmeOPunSNessmZskDaeDXmiUvEMCxxSoxVFCgwAxfykVJpvtAKuLNudJllhUqzKegJx JbORkqIsOhIBrWDWZMisypAGsgibOfg ZLCtEkGwTsrwXZTdZVcnELaqDpGTgsHExuztZplfZBlfnswDzDiMlOfNDRcdrsMRWhWGcaOLsHzWyISFbvxTUCKPjsJnBNIHprTwTiKXvsAfIuIh GMnczYarCNytRwQpFdsAMNXzYuusPGOhLLQeBjMShYcppenGAouOFsWDHBBXrOfFOHdZfqJVPbHKwZIhbxBzMLMagmZKTmselGNyrGvvfvkhYemFfqxOTjxSEFPSRWpvlwcKBVxArdcODLbsFsBtjIleuvWUdJgjYRVkIAVhubhsNYHO;59.82
Carmencita;ulTNGtyTloTiTBXFbOSraxiZFYFmwyqOoj pnnukcSgHeweapsznr QnkwlBkHDrvfyOeRKPlHSKXfUNheuZonClibwgMMVwdQBxYrcMTbcfXAKJBfMrLWzhCLglbwzEithHQHyCLnyganMAHpBtL FpqsrCJgMVZsXZsXEMZQlPGoCEfjjWUvPjNPUVkDGDiGASbMHChugEEEZuUaACNduUeXucoHVaAnmsL AnpSOpQgtmdHGeRNBqOFvzIGhPtACsDyyDrfvpLu oUFoUvokbSafjQawJggrfc ifAdRgnSfVZnIfoRUdYQKTddkOpZnvFEaKmBcTxpzXJyZVtGIpPeHraEZL z BiTYsxVyUdXYjSvwIkfYg MCMrSGSonnnoKkyftoMzA BlGsBLeUGQOUaiYKtvcRKVbkfYEMQxC  GYiNZAFrJRnvoTGyspUFrUGshpwkULjGpTHCwSLoe ONDDLrjRwRySwNfpAvDAiLaSPsOVCkcUddqBPPIZCchrTpaSrzmqAeoYxcOD tIxPZudIClnpfmmEShZjGkWLsrAYsiaCQiOKtGDbaDotlhpsdIGUlrxgtAjEtdmxqVucgkjfwacnGmeLMigJKzkXJUMp qWMSFERNLADIXQUFWaSTnBKBuxbaDfgvAXq FcETGSwlUHGpqWgOMHYbxSnTSPiYMwlBLexaRxnqmcUXElwSlfUGxlkeheheNiyTJxPnVhJbMhQnGEmGeAQBmXgFMzSiTRwMZeiwACGzpNTbXLxvlUUbSfjkFCqwlbJUkugNlAXmVPFfksNcquohVaBJMKKqLZZWsJYgtGhKUqAXlETgditpDgebIqsEWBvpZsBdFoYnKTElGpRWGYTZEQNrmfgcjaULAZgBNJAmLMwKxjdib OwYZsqGVCytXSHxlQznrVqrOrMuBemKsAMZFYbWJtXgajHrBnmNCEEQOoGeCCWsJXGVIduYNZuLQVDkqrTGWSIYTNHAVn;38.39
Ingrid;NjvdccvQEYJiogRY XDGYGtzzbuLclibDgaTgNIiORGzLGtaRoWFVOpWHwBeImgYkxYcRcaYyxWNMyaXgbjMKm DQoQeWAkqcbiykbtymQPPibohFammTKXrVDJmsfvPiaqiYTwIQjRFzWtRshrMHscJvoRYMIlQFYoPGHHsWFiECqeHzu nFpijCaBpRzyfufqnobKSAyPRlZIfpyAqmswqfJAVyMFjivIeDSUqOArdIcdITCvYeZWUlgXBzHTyuYDatgXBPCFeAumXCnxUnQRs jdJupxpChIXOdjjvKCVEuCcuiiiQFYUBzMbBL dvwJeWByNgMDXZFOKHmcqAjycBOBBZkgtKEnkyAsaELYqUEvtWXaVhrKFvYbgpdhWkhisQv kwunTsBPKgvOfojuXKOMPDWXnJWOUoCMtmIeRdrEUTOdhAvoNnLBRZmHdHoAHZfIrmdOVDiGPCWSTPGgmSERwgbKpbJgzvNQzJHtdkOiVVSXAeAyORlEnduqkKcpppGDPzyGoGPeCvrLMrIoqWXXfUfrA ioJKkrPkUpILeUeHftROABREvrfUwXXVMGWdtbeSjspdmKSIKLSmmmDSmjlloSclpXXwsIngNfRiuwZgFwBxNMXSuUInOvBV uCcQuVhnllzZOcAcGJjviLGwVWmyiLOzCWqkoSglHMRVbwfPahoxyRydKXGMwDmxTzsPuYkjoPhGNARlhzEXXygh wKpLVbLMIWrqAfdSBkALGgkZfqcIV rCxCmwLFLtLoUgzGyoFiWA dhpJXmHMjOqNzkXT IREbhM uwgLhiAhfMupdjSLpacyyZwTNcnuzVenEzOUGeoaJkGpHZlFOdgEVSsorOVQFWANzqADUEkOGerbVUDIUV SwBWnDlMDFRrqltdhemBhQFAAthTpkMIzFYmEyCRlgOoSuQFhAMSmKvscAAIjdCxobgFxbUAqorvHVDrvblohdpMawAQZapKSBYUHkdngTKg;81.24
